name,type,skin,# attributes,hair,eyes,mouth,mouth prop,facial hair,neck,ears,blemishes,nose
CryptoPunk #0,Female,Medium,3,Blonde Bob,Green Eye Shadow,,,,,Earring,,
CryptoPunk #1,Male,Dark,2,Mohawk,,Smile,,,,,,
CryptoPunk #2,Female,Light,1,Wild Hair,,,,,,,,
CryptoPunk #3,Male,Dark,3,Wild Hair,Nerd Glasses,,Pipe,,,,,
CryptoPunk #4,Male,Medium,4,Wild Hair,Big Shades,,,Goat,,Earring,,
CryptoPunk #5,Female,Medium,3,Half Shaved,Purple Eye Shadow,,,,,Earring,,
CryptoPunk #6,Male,Medium,1,Do-rag,,,,,,,,
CryptoPunk #7,Female,Medium,3,Wild White Hair,Clown Eyes Blue,,,,,,Spots,
CryptoPunk #8,Male,Dark,2,Messy Hair,,,,Luxurious Beard,,,,
CryptoPunk #9,Male,Medium,3,Police Cap,,,,Big Beard,,,,Clown Nose
CryptoPunk #10,Female,Dark,2,Mohawk,Blue Eye Shadow,,,,,,,
CryptoPunk #11,Female,Medium,3,Straight Hair Dark,Clown Eyes Green,Black Lipstick,,,,,,
CryptoPunk #12,Female,Dark,2,Blonde Short,,Purple Lipstick,,,,,,
CryptoPunk #13,Female,Light,3,Straight Hair Blonde,Big Shades,Black Lipstick,,,,,,
CryptoPunk #14,Female,Dark,3,Pilot Helmet,,Hot Lipstick,Pipe,,,,,
CryptoPunk #15,Male,Albino,3,Wild Hair,Regular Shades,,,Luxurious Beard,,,,
CryptoPunk #16,Male,Medium,3,Stringy Hair,Small Shades,,,,,Earring,,
CryptoPunk #17,Male,Light,2,Mohawk,,Frown,,,,,,
CryptoPunk #18,Male,Medium,2,,Eye Mask,,,Muttonchops,,,,
CryptoPunk #19,Female,Dark,3,Bandana,Horned Rim Glasses,Hot Lipstick,,,,,,
CryptoPunk #20,Male,Light,1,Crazy Hair,,,,,,,,
CryptoPunk #21,Male,Light,3,Messy Hair,Classic Shades,,,,,Earring,,
CryptoPunk #22,Female,Dark,2,Pilot Helmet,,Purple Lipstick,,,,,,
CryptoPunk #23,Male,Light,3,Do-rag,,,,Handlebars,,Earring,,
CryptoPunk #24,Male,Light,2,Mohawk Dark,,Smile,,,,,,
CryptoPunk #25,Female,Dark,1,Wild White Hair,,,,,,,,
CryptoPunk #26,Female,Medium,1,Dark Hair,,,,,,,,
CryptoPunk #27,Male,Light,2,Peak Spike,,,,,,Earring,,
CryptoPunk #28,Male,Dark,2,Crazy Hair,Big Shades,,,,,,,
CryptoPunk #29,Female,Medium,3,Half Shaved,Horned Rim Glasses,,,,,Earring,,
CryptoPunk #30,Male,Dark,2,Cap,,,,Normal Beard Black,,,,
CryptoPunk #31,Female,Dark,1,Stringy Hair,,,,,,,,
CryptoPunk #32,Male,Light,2,,VR,Frown,,,,,,
CryptoPunk #33,Male,Light,1,Peak Spike,,,,,,,,
CryptoPunk #34,Female,Light,2,Frumpy Hair,,Purple Lipstick,,,,,,
CryptoPunk #35,Male,Dark,5,Peak Spike,Horned Rim Glasses,,Cigarette,Normal Beard,,Earring,,
CryptoPunk #36,Female,Medium,1,Red Mohawk,,,,,,,,
CryptoPunk #37,Female,Dark,2,Cap,Clown Eyes Blue,,,,,,,
CryptoPunk #38,Female,Light,3,Frumpy Hair,Classic Shades,Purple Lipstick,,,,,,
CryptoPunk #39,Male,Light,3,Shaved Head,Regular Shades,Frown,,,,,,
CryptoPunk #40,Male,Light,3,Bandana,,Smile,,Chinstrap,,,,
CryptoPunk #41,Male,Dark,3,Wild Hair,Clown Eyes Green,,,Muttonchops,,,,
CryptoPunk #42,Female,Dark,2,Wild Hair,,,Cigarette,,,,,
CryptoPunk #43,Female,Medium,1,Half Shaved,,,,,,,,
CryptoPunk #44,Male,Light,1,Messy Hair,,,,,,,,
CryptoPunk #45,Male,Medium,2,,,,,,,Earring,Mole,
CryptoPunk #46,Female,Medium,2,Straight Hair Dark,,Purple Lipstick,,,,,,
CryptoPunk #47,Male,Dark,1,Knitted Cap,,,,,,,,
CryptoPunk #48,Male,Light,2,Mohawk,Big Shades,,,,,,,
CryptoPunk #49,Female,Dark,2,Bandana,Purple Eye Shadow,,,,,,,
CryptoPunk #50,Male,Medium,2,Fedora,,,,,,,Spots,
CryptoPunk #51,Male,Medium,3,Wild Hair,,,,Muttonchops,,Earring,,
CryptoPunk #52,Male,Dark,4,Knitted Cap,Nerd Glasses,,,Shadow Beard,,Earring,,
CryptoPunk #53,Female,Light,2,Straight Hair,Big Shades,,,,,,,
CryptoPunk #54,Male,Dark,1,Hoodie,,,,,,,,
CryptoPunk #55,Male,Light,1,,Eye Patch,,,,,,,
CryptoPunk #56,Male,Dark,1,Shaved Head,,,,,,,,
CryptoPunk #57,Male,Light,1,Headband,,,,,,,,
CryptoPunk #58,Male,Medium,2,Hoodie,,,,Normal Beard Black,,,,
CryptoPunk #59,Male,Albino,2,Cowboy Hat,,,,Muttonchops,,,,
CryptoPunk #60,Female,Light,2,Stringy Hair,,Purple Lipstick,,,,,,
CryptoPunk #61,Female,Light,1,Dark Hair,,,,,,,,
CryptoPunk #62,Female,Dark,4,Mohawk Dark,Clown Eyes Blue,Hot Lipstick,,,,Earring,,
CryptoPunk #63,Male,Dark,3,Shaved Head,Small Shades,,,,,Earring,,
CryptoPunk #64,Female,Medium,2,Straight Hair Blonde,,Purple Lipstick,,,,,,
CryptoPunk #65,Female,Medium,2,Headband,Eye Mask,,,,,,,
CryptoPunk #66,Female,Dark,1,Tassle Hat,,,,,,,,
CryptoPunk #67,Female,Dark,3,Half Shaved,3D Glasses,Purple Lipstick,,,,,,
CryptoPunk #68,Male,Dark,2,Do-rag,Nerd Glasses,,,,,,,
CryptoPunk #69,Male,Medium,2,Fedora,,,,Normal Beard Black,,,,
CryptoPunk #70,Female,Medium,4,Crazy Hair,Regular Shades,,Cigarette,,,Earring,,
CryptoPunk #71,Female,Light,3,Half Shaved,Green Eye Shadow,Purple Lipstick,,,,,,
CryptoPunk #72,Male,Dark,4,Fedora,Nerd Glasses,,,Normal Beard,,Earring,,
CryptoPunk #73,Female,Medium,3,Bandana,,Black Lipstick,,,,Earring,,
CryptoPunk #74,Male,Dark,3,Mohawk Dark,,,,Shadow Beard,,Earring,,
CryptoPunk #75,Male,Light,3,Knitted Cap,Eye Patch,,,Shadow Beard,,,,
CryptoPunk #76,Male,Light,2,Do-rag,,,Cigarette,,,,,
CryptoPunk #77,Male,Dark,2,Stringy Hair,,,,Handlebars,,,,
CryptoPunk #78,Male,Medium,3,Knitted Cap,Eye Patch,,,Handlebars,,,,
CryptoPunk #79,Male,Dark,2,Mohawk Dark,,,,Normal Beard,,,,
CryptoPunk #80,Male,Albino,2,Wild Hair,,,,Mustache,,,,
CryptoPunk #81,Male,Light,2,Headband,Small Shades,,,,,,,
CryptoPunk #82,Male,Albino,1,Headband,,,,,,,,
CryptoPunk #83,Male,Light,3,Shaved Head,Small Shades,,Vape,,,,,
CryptoPunk #84,Male,Light,3,Messy Hair,Big Shades,,,,,Earring,,
CryptoPunk #85,Female,Dark,1,Crazy Hair,,,,,,,,
CryptoPunk #86,Female,Dark,4,Knitted Cap,Green Eye Shadow,Hot Lipstick,,,,Earring,,
CryptoPunk #87,Male,Light,2,Hoodie,,,,,,Earring,,
CryptoPunk #88,Female,Light,2,Cap,,Hot Lipstick,,,,,,
CryptoPunk #89,Female,Dark,1,,,,,,Choker,,,
CryptoPunk #90,Male,Medium,2,Hoodie,Eye Patch,,,,,,,
CryptoPunk #91,Female,Light,2,Straight Hair,,,,,,,,Clown Nose
CryptoPunk #92,Female,Light,3,Pink With Hat,Nerd Glasses,Purple Lipstick,,,,,,
CryptoPunk #93,Female,Light,1,Bandana,,,,,,,,
CryptoPunk #94,Female,Dark,3,Pink With Hat,Regular Shades,,,,,Earring,,
CryptoPunk #95,Male,Medium,2,Mohawk,,,,,,Earring,,
CryptoPunk #96,Female,Light,1,Blonde Bob,,,,,,,,
CryptoPunk #97,Male,Medium,1,Wild Hair,,,,,,,,
CryptoPunk #98,Female,Light,3,Dark Hair,Welding Goggles,Black Lipstick,,,,,,
CryptoPunk #99,Male,Medium,2,Hoodie,,,Cigarette,,,,,
CryptoPunk #100,Female,Medium,1,Tassle Hat,,,,,,,,
CryptoPunk #101,Male,Medium,2,Police Cap,Nerd Glasses,,,,,,,
CryptoPunk #102,Male,Medium,2,Vampire Hair,,,,Luxurious Beard,,,,
CryptoPunk #103,Female,Dark,3,Blonde Bob,Green Eye Shadow,Black Lipstick,,,,,,
CryptoPunk #104,Male,Dark,4,Crazy Hair,Eye Patch,,,Normal Beard Black,,Earring,,
CryptoPunk #105,Male,Light,1,Mohawk Thin,,,,,,,,
CryptoPunk #106,Female,Light,1,Straight Hair Blonde,,,,,,,,
CryptoPunk #107,Male,Medium,1,Headband,,,,,,,,
CryptoPunk #108,Female,Light,2,Headband,,Black Lipstick,,,,,,
CryptoPunk #109,Male,Dark,3,Fedora,,,,Handlebars,,Earring,,
CryptoPunk #110,Female,Dark,4,Mohawk Dark,,Purple Lipstick,Cigarette,,,Earring,,
CryptoPunk #111,Male,Dark,2,Knitted Cap,,,,Handlebars,,,,
CryptoPunk #112,Male,Medium,4,Bandana,Horned Rim Glasses,,,Big Beard,,Earring,,
CryptoPunk #113,Male,Albino,1,Mohawk,,,,,,,,
CryptoPunk #114,Female,Dark,1,Red Mohawk,,,,,,,,
CryptoPunk #115,Female,Dark,2,Half Shaved,,,,,,Earring,,
CryptoPunk #116,Female,Dark,4,Tiara,Clown Eyes Blue,Black Lipstick,,,,Earring,,
CryptoPunk #117,Zombie,,2,Messy Hair,,,,Front Beard Dark,,,,
CryptoPunk #118,Female,Light,2,Bandana,,Black Lipstick,,,,,,
CryptoPunk #119,Male,Medium,2,Cap,,,,,,Earring,,
CryptoPunk #120,Female,Medium,2,Tassle Hat,Big Shades,,,,,,,
CryptoPunk #121,Female,Light,2,Tiara,,Purple Lipstick,,,,,,
CryptoPunk #122,Male,Light,2,Mohawk,,,Cigarette,,,,,
CryptoPunk #123,Female,Medium,2,Wild White Hair,,,,,,,Spots,
CryptoPunk #124,Male,Medium,3,Peak Spike,,,,Normal Beard Black,,Earring,,
CryptoPunk #125,Female,Light,3,Tassle Hat,Big Shades,Purple Lipstick,,,,,,
CryptoPunk #126,Male,Albino,4,Headband,Eye Patch,,Cigarette,,,Earring,,
CryptoPunk #127,Female,Medium,2,Stringy Hair,Clown Eyes Green,,,,,,,
CryptoPunk #128,Male,Light,4,Police Cap,,,Vape,Chinstrap,,,Mole,
CryptoPunk #129,Male,Light,4,Cap Forward,Horned Rim Glasses,,Cigarette,,Gold Chain,,,
CryptoPunk #130,Male,Light,1,Mohawk,,,,,,,,
CryptoPunk #131,Female,Medium,2,Straight Hair Dark,,Hot Lipstick,,,,,,
CryptoPunk #132,Male,Dark,1,Mohawk Thin,,,,,,,,
CryptoPunk #133,Male,Albino,3,Purple Hair,,,Pipe,Chinstrap,,,,
CryptoPunk #134,Male,Medium,1,Police Cap,,,,,,,,
CryptoPunk #135,Male,Light,1,Cap Forward,,,,,,,,
CryptoPunk #136,Male,Dark,3,Shaved Head,Clown Eyes Green,,,Shadow Beard,,,,
CryptoPunk #137,Male,Dark,1,Messy Hair,,,,,,,,
CryptoPunk #138,Male,Light,2,Stringy Hair,Horned Rim Glasses,,,,,,,
CryptoPunk #139,Male,Medium,2,Do-rag,Eye Patch,,,,,,,
CryptoPunk #140,Female,Dark,1,,,Hot Lipstick,,,,,,
CryptoPunk #141,Male,Dark,3,Headband,3D Glasses,,,Chinstrap,,,,
CryptoPunk #142,Male,Light,2,Mohawk,Regular Shades,,,,,,,
CryptoPunk #143,Male,Light,2,Beanie,Horned Rim Glasses,,,,,,,
CryptoPunk #144,Male,Dark,3,Frumpy Hair,,,Cigarette,Luxurious Beard,,,,
CryptoPunk #145,Male,Light,1,Wild Hair,,,,,,,,
CryptoPunk #146,Male,Light,2,Mohawk,,,,,,Earring,,
CryptoPunk #147,Male,Albino,2,Mohawk Thin,Regular Shades,,,,,,,
CryptoPunk #148,Male,Medium,1,Hoodie,,,,,,,,
CryptoPunk #149,Male,Light,3,Messy Hair,Big Shades,,,Luxurious Beard,,,,
CryptoPunk #150,Female,Medium,2,,,Purple Lipstick,,,,Earring,,
CryptoPunk #151,Male,Medium,2,Stringy Hair,VR,,,,,,,
CryptoPunk #152,Male,Light,2,Mohawk Dark,Clown Eyes Green,,,,,,,
CryptoPunk #153,Male,Medium,3,Cap,Eye Mask,,,,,Earring,,
CryptoPunk #154,Male,Dark,3,Hoodie,,,,Shadow Beard,,Earring,,
CryptoPunk #155,Male,Dark,2,Clown Hair Green,,,,,,,,Clown Nose
CryptoPunk #156,Male,Dark,2,Cap Forward,Small Shades,,,,,,,
CryptoPunk #157,Male,Medium,2,Cap,,,Cigarette,,,,,
CryptoPunk #158,Male,Light,3,Wild Hair,Regular Shades,,,Goat,,,,
CryptoPunk #159,Male,Light,2,Stringy Hair,,,,,,Earring,,
CryptoPunk #160,Female,Medium,3,Pigtails,Clown Eyes Blue,Purple Lipstick,,,,,,
CryptoPunk #161,Female,Dark,2,Frumpy Hair,,Hot Lipstick,,,,,,
CryptoPunk #162,Male,Medium,3,Frumpy Hair,Horned Rim Glasses,,,Normal Beard Black,,,,
CryptoPunk #163,Male,Dark,2,Shaved Head,Eye Patch,,,,,,,
CryptoPunk #164,Female,Medium,2,Stringy Hair,VR,,,,,,,
CryptoPunk #165,Male,Medium,3,Mohawk Dark,,,Cigarette,Front Beard Dark,,,,
CryptoPunk #166,Male,Dark,2,Shaved Head,Regular Shades,,,,,,,
CryptoPunk #167,Female,Medium,2,Headband,,Hot Lipstick,,,,,,
CryptoPunk #168,Female,Light,3,Blonde Bob,Blue Eye Shadow,,,,Silver Chain,,,
CryptoPunk #169,Female,Medium,3,Wild White Hair,Regular Shades,Hot Lipstick,,,,,,
CryptoPunk #170,Male,Light,3,Peak Spike,Classic Shades,,,,,,Mole,
CryptoPunk #171,Male,Medium,3,Stringy Hair,,,,,,Earring,Mole,
CryptoPunk #172,Female,Medium,3,Blonde Bob,3D Glasses,Purple Lipstick,,,,,,
